,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,99
0,"(287.5,112.5)","(287.5,137.5)","(287.5,162.5)","(287.5,187.5)","(262.5,112.5)","(262.5,137.5)","(262.5,162.5)","(262.5,187.5)","(237.5,112.5)","(237.5,137.5)","(237.5,162.5)","(237.5,187.5)","(62.5,112.5)","(62.5,137.5)","(62.5,162.5)","(62.5,187.5)","(150.0,150.0)"
1,"(312.5,112.5)","(312.5,137.5)","(312.5,162.5)","(312.5,187.5)","(287.5,112.5)","(262.5,112.5)","(262.5,187.5)","(287.5,187.5)","(237.5,112.5)","(237.5,137.5)","(237.5,162.5)","(237.5,187.5)","(62.5,112.5)","(62.5,137.5)","(62.5,162.5)","(62.5,187.5)","(150.0,150.0)"
2,"(337.5,112.5)","(337.5,137.5)","(337.5,162.5)","(337.5,187.5)","(312.5,87.5)","(287.5,112.5)","(287.5,187.5)","(312.5,212.5)","(262.5,112.5)","(237.5,112.5)","(237.5,187.5)","(262.5,187.5)","(87.5,112.5)","(87.5,137.5)","(87.5,162.5)","(87.5,187.5)","(175.0,150.0)"
3,"(362.5,112.5)","(362.5,137.5)","(362.5,162.5)","(362.5,187.5)","(337.5,87.5)","(312.5,87.5)","(312.5,212.5)","(337.5,212.5)","(287.5,112.5)","(262.5,112.5)","(262.5,187.5)","(287.5,187.5)","(137.5,112.5)","(137.5,137.5)","(137.5,162.5)","(137.5,187.5)","(200.0,150.0)"
4,"(387.5,112.5)","(387.5,137.5)","(387.5,162.5)","(387.5,187.5)","(362.5,87.5)","(337.5,87.5)","(337.5,212.5)","(362.5,212.5)","(312.5,87.5)","(287.5,112.5)","(287.5,187.5)","(312.5,212.5)","(162.5,112.5)","(162.5,137.5)","(162.5,162.5)","(162.5,187.5)","(225.0,150.0)"
5,"(412.4,112.5)","(412.4,137.5)","(412.4,162.5)","(412.4,187.5)","(387.5,87.5)","(362.5,87.5)","(362.5,212.5)","(387.5,212.5)","(337.5,87.5)","(312.5,87.5)","(312.5,212.5)","(337.5,212.5)","(187.5,112.5)","(187.5,137.5)","(187.5,162.5)","(187.5,187.5)","(250.0,150.0)"
6,"(687.4,112.5)","(687.4,137.5)","(687.4,162.5)","(687.4,187.5)","(387.5,87.5)","(362.5,87.5)","(362.5,212.5)","(387.5,212.5)","(337.5,87.5)","(312.5,87.5)","(312.5,212.5)","(337.5,212.5)","(375.0,112.5)","(375.0,137.5)","(375.0,162.5)","(375.0,187.5)","(600.0,150.0)"
7,"(687.4,112.5)","(687.4,137.5)","(687.4,162.5)","(687.4,187.5)","(412.5,112.5)","(387.5,87.5)","(387.5,212.5)","(412.5,187.5)","(362.5,87.5)","(337.5,87.5)","(337.5,212.5)","(362.5,212.5)","(375.0,112.5)","(375.0,137.5)","(375.0,162.5)","(375.0,187.5)","(600.0,150.0)"
8,"(687.4,112.5)","(687.4,137.5)","(687.4,162.5)","(687.4,187.5)","(437.5,112.5)","(412.5,112.5)","(412.5,187.5)","(437.5,187.5)","(387.5,87.5)","(362.5,87.5)","(362.5,212.5)","(387.5,212.5)","(375.0,112.5)","(375.0,137.5)","(375.0,162.5)","(375.0,187.5)","(600.0,150.0)"
9,"(687.4,112.5)","(687.4,137.5)","(687.4,162.5)","(687.4,187.5)","(462.5,112.5)","(437.5,112.5)","(437.5,187.5)","(462.5,187.5)","(412.5,112.5)","(387.5,87.5)","(387.5,212.5)","(412.5,187.5)","(375.0,112.5)","(375.0,137.5)","(375.0,162.5)","(375.0,187.5)","(600.0,150.0)"
